pair_id	region	ancestry	trait_a	trait_b	imputed_h4	confidence	prob_signal	base_from_pair	region_bonus	ancestry_factor
chr22_33750000_37250000__AFR__t2d_vs_asthma	22:33750000-37250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_54750000_66250000__AFR__t2d_vs_asthma	2:54750000-66250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr22_17750000_21250000__AFR__t2d_vs_asthma	22:17750000-21250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr5_166750000_169250000__AFR__t2d_vs_asthma	5:166750000-169250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr5_146750000_149250000__AFR__t2d_vs_asthma	5:146750000-149250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr5_104750000_109250000__AFR__t2d_vs_asthma	5:104750000-109250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr20_750000_5250000__AFR__t2d_vs_asthma	20:750000-5250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr5_41750000_44250000__AFR__t2d_vs_asthma	5:41750000-44250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr1_196750000_199250000__AFR__t2d_vs_asthma	1:196750000-199250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr9_32750000_38250000__AFR__t2d_vs_asthma	9:32750000-38250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr10_5750000_7250000__AFR__t2d_vs_asthma	10:5750000-7250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr10_52750000_54250000__AFR__t2d_vs_asthma	10:52750000-54250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr1_149750000_157250000__AFR__t2d_vs_asthma	1:149750000-157250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_14750000_17250000__AFR__t2d_vs_asthma	2:14750000-17250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr9_12750000_17250000__AFR__t2d_vs_asthma	9:12750000-17250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr4_15750000_19250000__AFR__t2d_vs_asthma	4:15750000-19250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr20_28750000_36250000__AFR__t2d_vs_asthma	20:28750000-36250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr6_168750000_170250000__AFR__t2d_vs_asthma	6:168750000-170250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr19_38750000_43250000__AFR__t2d_vs_asthma	19:38750000-43250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr17_750000_8250000__AFR__t2d_vs_asthma	17:750000-8250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr12_119750000_125250000__AFR__t2d_vs_asthma	12:119750000-125250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr22_27750000_33250000__AFR__t2d_vs_asthma	22:27750000-33250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr14_81750000_83250000__AFR__t2d_vs_asthma	14:81750000-83250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr16_65750000_78250000__AFR__t2d_vs_asthma	16:65750000-78250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr7_4750000_8250000__AFR__t2d_vs_asthma	7:4750000-8250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr5_138750000_143250000__AFR__t2d_vs_asthma	5:138750000-143250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr3_175750000_178250000__AFR__t2d_vs_asthma	3:175750000-178250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr10_90750000_101250000__AFR__t2d_vs_asthma	10:90750000-101250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_185750000_189250000__AFR__t2d_vs_asthma	2:185750000-189250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr3_22750000_26250000__AFR__t2d_vs_asthma	3:22750000-26250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr22_47750000_49250000__AFR__t2d_vs_asthma	22:47750000-49250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_39750000_49250000__AFR__t2d_vs_asthma	2:39750000-49250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr13_35750000_37250000__AFR__t2d_vs_asthma	13:35750000-37250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr1_193750000_196250000__AFR__t2d_vs_asthma	1:193750000-196250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr5_26750000_28250000__AFR__t2d_vs_asthma	5:26750000-28250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr5_34750000_36250000__AFR__t2d_vs_asthma	5:34750000-36250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr18_5750000_8250000__AFR__t2d_vs_asthma	18:5750000-8250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr11_129750000_135250000__AFR__t2d_vs_asthma	11:129750000-135250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr20_7750000_13250000__AFR__t2d_vs_asthma	20:7750000-13250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr10_132750000_135250000__AFR__t2d_vs_asthma	10:132750000-135250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr15_50750000_54250000__AFR__t2d_vs_asthma	15:50750000-54250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr15_56750000_64250000__AFR__t2d_vs_asthma	15:56750000-64250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr12_59750000_61250000__AFR__t2d_vs_asthma	12:59750000-61250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr7_111750000_115250000__AFR__t2d_vs_asthma	7:111750000-115250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr12_25750000_28250000__AFR__t2d_vs_asthma	12:25750000-28250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr17_58750000_63250000__AFR__t2d_vs_asthma	17:58750000-63250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr3_132750000_139250000__AFR__t2d_vs_asthma	3:132750000-139250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr4_72750000_75250000__AFR__t2d_vs_asthma	4:72750000-75250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_210750000_215250000__AFR__t2d_vs_asthma	2:210750000-215250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_109750000_115250000__AFR__t2d_vs_asthma	2:109750000-115250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr7_108750000_110250000__AFR__t2d_vs_asthma	7:108750000-110250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr8_750000_2250000__AFR__t2d_vs_asthma	8:750000-2250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr1_200750000_206250000__AFR__t2d_vs_asthma	1:200750000-206250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr11_99750000_101250000__AFR__t2d_vs_asthma	11:99750000-101250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr3_40750000_54250000__AFR__t2d_vs_asthma	3:40750000-54250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr8_24750000_29250000__AFR__t2d_vs_asthma	8:24750000-29250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr7_146750000_148250000__AFR__t2d_vs_asthma	7:146750000-148250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr18_38750000_43250000__AFR__t2d_vs_asthma	18:38750000-43250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr17_14750000_17250000__AFR__t2d_vs_asthma	17:14750000-17250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr12_30750000_32250000__AFR__t2d_vs_asthma	12:30750000-32250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr19_29750000_35250000__AFR__t2d_vs_asthma	19:29750000-35250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr8_111750000_113250000__AFR__t2d_vs_asthma	8:111750000-113250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_163750000_167250000__AFR__t2d_vs_asthma	2:163750000-167250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr5_118750000_120250000__AFR__t2d_vs_asthma	5:118750000-120250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr6_115750000_123250000__AFR__t2d_vs_asthma	6:115750000-123250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr7_136750000_141250000__AFR__t2d_vs_asthma	7:136750000-141250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_132750000_134250000__AFR__t2d_vs_asthma	2:132750000-134250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr7_85750000_87250000__AFR__t2d_vs_asthma	7:85750000-87250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr9_110750000_115250000__AFR__t2d_vs_asthma	9:110750000-115250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_160750000_163250000__AFR__t2d_vs_asthma	2:160750000-163250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr4_107750000_110250000__AFR__t2d_vs_asthma	4:107750000-110250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr2_176750000_178250000__AFR__t2d_vs_asthma	2:176750000-178250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr1_64750000_68250000__AFR__t2d_vs_asthma	1:64750000-68250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr12_81750000_83250000__AFR__t2d_vs_asthma	12:81750000-83250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr13_75750000_77250000__AFR__t2d_vs_asthma	13:75750000-77250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr4_114750000_116250000__AFR__t2d_vs_asthma	4:114750000-116250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr9_3750000_7250000__AFR__t2d_vs_asthma	9:3750000-7250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr11_62750000_75250000__AFR__t2d_vs_asthma	11:62750000-75250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr14_45750000_48250000__AFR__t2d_vs_asthma	14:45750000-48250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr8_40750000_42250000__AFR__t2d_vs_asthma	8:40750000-42250000	AFR	t2d	asthma	0.0077	high	0.001	0.0189	0.0000	0.4091
chr11_59750000_62250000__AFR__stroke_vs_asthma	11:59750000-62250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr12_119750000_125250000__AFR__stroke_vs_asthma	12:119750000-125250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr1_220750000_222250000__AFR__stroke_vs_asthma	1:220750000-222250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr11_110750000_123250000__AFR__stroke_vs_asthma	11:110750000-123250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr6_115750000_123250000__AFR__stroke_vs_asthma	6:115750000-123250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr3_55750000_58250000__AFR__stroke_vs_asthma	3:55750000-58250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr11_83750000_86250000__AFR__stroke_vs_asthma	11:83750000-86250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr6_159750000_165250000__AFR__stroke_vs_asthma	6:159750000-165250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr2_54750000_66250000__AFR__stroke_vs_asthma	2:54750000-66250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr14_87750000_89250000__AFR__stroke_vs_asthma	14:87750000-89250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr12_32750000_34250000__AFR__stroke_vs_asthma	12:32750000-34250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr3_26750000_31250000__AFR__stroke_vs_asthma	3:26750000-31250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr2_170750000_176250000__AFR__stroke_vs_asthma	2:170750000-176250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr5_48750000_54250000__AFR__stroke_vs_asthma	5:48750000-54250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr10_20750000_24250000__AFR__stroke_vs_asthma	10:20750000-24250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr7_133750000_135250000__AFR__stroke_vs_asthma	7:133750000-135250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr1_84750000_86250000__AFR__stroke_vs_asthma	1:84750000-86250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr20_60750000_64250000__AFR__stroke_vs_asthma	20:60750000-64250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr8_35750000_37250000__AFR__stroke_vs_asthma	8:35750000-37250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr19_29750000_35250000__AFR__stroke_vs_asthma	19:29750000-35250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr20_7750000_13250000__AFR__stroke_vs_asthma	20:7750000-13250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr9_7750000_12250000__AFR__stroke_vs_asthma	9:7750000-12250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr8_3750000_5250000__AFR__stroke_vs_asthma	8:3750000-5250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr16_80750000_84250000__AFR__stroke_vs_asthma	16:80750000-84250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr1_14750000_18250000__AFR__stroke_vs_asthma	1:14750000-18250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr4_27750000_29250000__AFR__stroke_vs_asthma	4:27750000-29250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr10_83750000_85250000__AFR__stroke_vs_asthma	10:83750000-85250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr1_21750000_26250000__AFR__stroke_vs_asthma	1:21750000-26250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr2_80750000_82250000__AFR__stroke_vs_asthma	2:80750000-82250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr11_88750000_91250000__AFR__stroke_vs_asthma	11:88750000-91250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr13_75750000_77250000__AFR__stroke_vs_asthma	13:75750000-77250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr1_91750000_95250000__AFR__stroke_vs_asthma	1:91750000-95250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr3_110750000_120250000__AFR__stroke_vs_asthma	3:110750000-120250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr5_136750000_138250000__AFR__stroke_vs_asthma	5:136750000-138250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr21_15750000_17250000__AFR__stroke_vs_asthma	21:15750000-17250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr4_114750000_116250000__AFR__stroke_vs_asthma	4:114750000-116250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr5_118750000_120250000__AFR__stroke_vs_asthma	5:118750000-120250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr5_138750000_143250000__AFR__stroke_vs_asthma	5:138750000-143250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr4_160750000_164250000__AFR__stroke_vs_asthma	4:160750000-164250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr3_178750000_190250000__AFR__stroke_vs_asthma	3:178750000-190250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr11_129750000_135250000__AFR__stroke_vs_asthma	11:129750000-135250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr14_66750000_71250000__AFR__stroke_vs_asthma	14:66750000-71250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr16_5750000_8250000__AFR__stroke_vs_asthma	16:5750000-8250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr2_39750000_49250000__AFR__stroke_vs_asthma	2:39750000-49250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr20_28750000_36250000__AFR__stroke_vs_asthma	20:28750000-36250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr11_62750000_75250000__AFR__stroke_vs_asthma	11:62750000-75250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr8_19750000_21250000__AFR__stroke_vs_asthma	8:19750000-21250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr1_182750000_185250000__AFR__stroke_vs_asthma	1:182750000-185250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr20_46750000_52250000__AFR__stroke_vs_asthma	20:46750000-52250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr5_166750000_169250000__AFR__stroke_vs_asthma	5:166750000-169250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr4_35750000_37250000__AFR__stroke_vs_asthma	4:35750000-37250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr8_750000_2250000__AFR__stroke_vs_asthma	8:750000-2250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr2_5750000_7250000__AFR__stroke_vs_asthma	2:5750000-7250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr5_54750000_58250000__AFR__stroke_vs_asthma	5:54750000-58250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr22_17750000_21250000__AFR__stroke_vs_asthma	22:17750000-21250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr4_107750000_110250000__AFR__stroke_vs_asthma	4:107750000-110250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr3_132750000_139250000__AFR__stroke_vs_asthma	3:132750000-139250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr10_90750000_101250000__AFR__stroke_vs_asthma	10:90750000-101250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr6_125750000_132250000__AFR__stroke_vs_asthma	6:125750000-132250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr17_70750000_72250000__AFR__stroke_vs_asthma	17:70750000-72250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr18_5750000_8250000__AFR__stroke_vs_asthma	18:5750000-8250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr1_71750000_76250000__AFR__stroke_vs_asthma	1:71750000-76250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr1_149750000_157250000__AFR__stroke_vs_asthma	1:149750000-157250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr2_84750000_87250000__AFR__stroke_vs_asthma	2:84750000-87250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr20_23750000_26250000__AFR__stroke_vs_asthma	20:23750000-26250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr3_151750000_155250000__AFR__stroke_vs_asthma	3:151750000-155250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr8_13750000_16250000__AFR__stroke_vs_asthma	8:13750000-16250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr17_74750000_82250000__AFR__stroke_vs_asthma	17:74750000-82250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr9_0_3250000__AFR__stroke_vs_asthma	9:0-3250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr19_15750000_20250000__AFR__stroke_vs_asthma	19:15750000-20250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr20_18750000_22250000__AFR__stroke_vs_asthma	20:18750000-22250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr6_37750000_45250000__AFR__stroke_vs_asthma	6:37750000-45250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr2_176750000_178250000__AFR__stroke_vs_asthma	2:176750000-178250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr12_7750000_10250000__AFR__stroke_vs_asthma	12:7750000-10250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr6_107750000_110250000__AFR__stroke_vs_asthma	6:107750000-110250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr5_34750000_36250000__AFR__stroke_vs_asthma	5:34750000-36250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr1_206750000_208250000__AFR__stroke_vs_asthma	1:206750000-208250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr13_24750000_29250000__AFR__stroke_vs_asthma	13:24750000-29250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr1_248750000_250250000__AFR__stroke_vs_asthma	1:248750000-250250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr2_210750000_215250000__AFR__stroke_vs_asthma	2:210750000-215250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr6_78750000_81250000__AFR__stroke_vs_asthma	6:78750000-81250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr16_65750000_78250000__AFR__stroke_vs_asthma	16:65750000-78250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr9_123750000_132250000__AFR__stroke_vs_asthma	9:123750000-132250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr7_43750000_47250000__AFR__stroke_vs_asthma	7:43750000-47250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr9_100750000_105250000__AFR__stroke_vs_asthma	9:100750000-105250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr8_111750000_113250000__AFR__stroke_vs_asthma	8:111750000-113250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr11_44750000_52250000__AFR__stroke_vs_asthma	11:44750000-52250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr10_123750000_127250000__AFR__stroke_vs_asthma	10:123750000-127250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr12_30750000_32250000__AFR__stroke_vs_asthma	12:30750000-32250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr6_86750000_88250000__AFR__stroke_vs_asthma	6:86750000-88250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr19_20750000_23250000__AFR__stroke_vs_asthma	19:20750000-23250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr5_70750000_72250000__AFR__stroke_vs_asthma	5:70750000-72250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr16_18750000_22250000__AFR__stroke_vs_asthma	16:18750000-22250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr4_154750000_159250000__AFR__stroke_vs_asthma	4:154750000-159250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr10_29750000_35250000__AFR__stroke_vs_asthma	10:29750000-35250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr3_22750000_26250000__AFR__stroke_vs_asthma	3:22750000-26250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr16_85750000_88250000__AFR__stroke_vs_asthma	16:85750000-88250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr19_43750000_48250000__AFR__stroke_vs_asthma	19:43750000-48250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr5_146750000_149250000__AFR__stroke_vs_asthma	5:146750000-149250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr11_21750000_23250000__AFR__stroke_vs_asthma	11:21750000-23250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr11_53750000_59250000__AFR__stroke_vs_asthma	11:53750000-59250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr7_95750000_97250000__AFR__stroke_vs_asthma	7:95750000-97250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr22_39750000_43250000__AFR__stroke_vs_asthma	22:39750000-43250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr3_76750000_79250000__AFR__stroke_vs_asthma	3:76750000-79250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr1_188750000_192250000__AFR__stroke_vs_asthma	1:188750000-192250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
chr18_71750000_74250000__AFR__stroke_vs_asthma	18:71750000-74250000	AFR	stroke	asthma	0.0033	high	0.000	0.0082	0.0000	0.4091
